,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
480,-0.98953298,0.14430689,0.70710678,-0.70710678,None,None,-0.86269797,0.5057195,None,None,-0.1462369,-0.9892496,0.05872202,-0.99827437,-0.99227788,0.12403473,-0.47187678,-0.88166451,-0.17031429,-0.98538979,0.52409743,-0.85165832,0.50702013,-0.86193422
481,-0.99639801,0.08479983,0.32852062,-0.9444968,None,None,-0.99827437,-0.05872202,None,None,-0.16725326,-0.98591396,0.03506614,-0.99938499,-0.99654576,0.08304548,-0.40393268,-0.91478871,-0.1298438,-0.99153446,0.49613894,-0.86824314,0.45223133,-0.89190068
482,-0.99886814,0.04756515,0.32852062,-0.9444968,None,None,-0.84269626,-0.53838928,None,None,-0.16581402,-0.98615704,0.00884921,-0.99996084,-0.99589321,0.09053575,-0.32984374,-0.94403554,-0.15118323,-0.98850576,0.48278051,-0.87574139,0.47257581,-0.88129002
483,-0.99970269,0.02438299,0.35599533,-0.93448773,None,None,-0.91036648,-0.41380294,None,None,-0.1462369,-0.9892496,0.0,0.0,-0.99654576,0.08304548,-0.31965053,-0.94753551,-0.21440729,-0.97674434,0.45172514,-0.89215716,0.51082659,-0.85968378
484,-0.99967143,0.0256326,0.24253563,-0.9701425,None,None,-0.97690002,-0.21369688,None,None,-0.12610386,-0.99201704,-0.00862037,-0.99996284,-0.99287684,0.11914522,-0.32670978,-0.94512471,-0.42148653,-0.90683466,0.45631665,-0.88981746,0.58461899,-0.81130798
485,-0.99705449,0.0766965,0.07387169,-0.99726775,None,None,-0.96296402,0.26962993,None,None,-0.12610386,-0.99201704,-0.00847427,-0.99996409,-0.99287684,0.11914522,-0.33035042,-0.94385836,-0.52409743,-0.85165832,0.47551703,-0.87970651,0.60385769,-0.79709215
486,-0.99612985,0.08789381,0.19151036,-0.98149059,None,None,-0.78631834,-0.61782155,None,None,-0.11043153,-0.99388373,-0.01723882,-0.9998514,-0.98521175,0.17134117,-0.36933562,-0.92929608,-0.47257581,-0.88129002,0.50241736,-0.86462523,0.55743419,-0.83022113
487,-0.99705449,0.0766965,0.01723882,-0.9998514,None,None,-0.28408833,-0.95879811,None,None,-0.13780308,-0.99045965,-0.07000328,-0.99754676,-0.98639392,0.16439899,-0.32314385,-0.94634986,-0.38376367,-0.92343134,0.54917789,-0.83570548,0.56333682,-0.82622734
488,0.0,0.0,-0.02324953,-0.99972969,None,None,-0.47628315,-0.87929197,None,None,-0.12295375,-0.9924124,-0.08009895,-0.99678692,-0.99827437,0.05872202,-0.36742795,-0.93005199,-0.31991672,-0.94744567,0.51107539,-0.85953589,0.43690396,-0.89950816
489,-0.99805258,0.06237829,-0.66330751,-0.74834694,None,None,-0.91914503,-0.3939193,None,None,-0.10748184,-0.99420705,-0.09305245,-0.99566121,-0.94174191,0.3363364,-0.43772425,-0.89910927,-0.29162576,-0.9565325,0.3925652,-0.91972418,0.38461538,-0.92307692
490,-0.98639392,0.16439899,-0.82926643,-0.55885346,None,None,-0.84366149,0.53687549,None,None,-0.03569153,-0.99936285,0.0,0.0,-0.5547002,0.83205029,-0.46574643,-0.88491822,None,None,-0.05609133,-0.99842564,None,None
491,-0.99705449,0.0766965,-0.97971493,-0.20039624,None,None,-0.08444308,0.9964283,None,None,-0.00892822,-0.99996014,0.07188561,-0.99741288,-0.89442719,0.4472136,-0.43820225,-0.8988764,None,None,-0.41300492,-0.91072879,None,None
