,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
427,-0.37037683,-0.92888159,0.5547002,0.83205029,0.02399309,-0.99971212,0.48351805,0.87533439,-0.12295375,-0.9924124,0.7403021,-0.67227434,0.96675059,-0.25572112,-0.9486833,-0.31622777,0.35680451,-0.93417907,-0.75209618,-0.65905336,0.4637848,-0.88594789,0.07450499,-0.99722064
428,-0.36528777,-0.93089465,0.56047815,0.82816921,0.02399309,-0.99971212,0.47360427,0.88073776,-0.13274336,-0.99115044,0.7401201,-0.67247471,0.9671548,-0.25418812,-0.95072984,-0.3100206,0.35897908,-0.93334561,-0.75209618,-0.65905336,0.46135274,-0.8872168,0.06309244,-0.99800769
429,-0.36329442,-0.93167439,0.55084221,0.83460941,0.02399309,-0.99971212,0.48351805,0.87533439,-0.08893194,-0.99603771,0.7401201,-0.67247471,0.9701425,-0.24253563,-0.95373921,-0.30063519,0.34899774,-0.93712357,-0.73683874,-0.67606854,0.46135274,-0.8872168,0.0638231,-0.99796123
430,-0.36637196,-0.93046848,0.56047815,0.82816921,0.0559124,-0.99843568,0.47709186,0.87885343,-0.02677611,-0.99964146,0.73632752,-0.67662529,0.97159024,-0.23666942,-0.95667388,-0.29116162,0.35112344,-0.93632918,-0.74028178,-0.67229672,0.45894265,-0.88846589,0.06919789,-0.99760295
431,-0.36637196,-0.93046848,0.56047815,0.82816921,0.06386933,-0.99795827,0.48062348,0.87692706,-0.02677611,-0.99964146,0.73831267,-0.6744586,0.97159024,-0.23666942,-0.95373921,-0.30063519,0.34899774,-0.93712357,-0.73652989,-0.676405,0.45894265,-0.88846589,0.06919789,-0.99760295
432,-0.36637196,-0.93046848,0.56047815,0.82816921,0.09556067,-0.99542361,0.48706831,0.87336387,0.04610477,-0.99893661,0.73648919,-0.67644931,0.97123819,-0.23811001,-0.95373921,-0.30063519,0.34899774,-0.93712357,-0.73652989,-0.676405,0.45894265,-0.88846589,0.06919789,-0.99760295
433,-0.36439935,-0.93124278,0.56617541,0.82428479,0.1026298,-0.99471962,0.48419977,0.87495748,0.0393396,-0.9992259,0.73250985,-0.68075643,0.96977335,-0.24400749,-0.95373921,-0.30063519,0.35680451,-0.93417907,-0.74028178,-0.67229672,0.45190253,-0.89206732,0.07493324,-0.99718855
434,-0.36439935,-0.93124278,0.56617541,0.82428479,0.10872659,-0.99407169,0.48706831,0.87336387,0.0718141,-0.99741803,0.73250985,-0.68075643,0.96977335,-0.24400749,-0.95373921,-0.30063519,0.35465423,-0.93499753,-0.74366754,-0.66854961,0.4565543,-0.88969555,0.08066117,-0.99674158
435,-0.36132107,-0.93244147,0.56792528,0.82308012,0.1078936,-0.99416245,0.48706831,0.87336387,0.04872255,-0.99881235,0.73434673,-0.67877454,0.9678837,-0.25139836,-0.95466245,-0.29769044,0.35680451,-0.93417907,-0.75444308,-0.65636548,0.4565543,-0.88969555,0.09156771,-0.99579885
436,-0.35112344,-0.93632918,0.57179266,0.82039817,0.10104271,-0.99488209,0.47765646,0.8785467,0.05823434,-0.99830294,0.73600945,-0.67697126,0.9678837,-0.25139836,-0.95754244,-0.28829235,0.35680451,-0.93417907,-0.76138104,-0.64830465,0.45894265,-0.88846589,0.09104882,-0.99584643
437,-0.35305725,-0.93560172,0.57179266,0.82039817,0.11639103,-0.99320347,0.46432827,0.88566318,0.04719146,-0.99888586,0.73405052,-0.67909487,0.96633901,-0.25727207,-0.96034623,-0.27881019,0.40499945,-0.91431693,-0.76452232,-0.64459725,0.43212018,-0.90181603,0.10793712,-0.99415772
438,-0.34789042,-0.9375352,0.58518529,0.81089961,0.11550086,-0.99330738,0.44015722,0.89792072,0.04506695,-0.99898397,0.73405052,-0.67909487,0.96432615,-0.26471698,-0.95754244,-0.28829235,0.4078321,-0.91305694,-0.77064527,-0.63726436,0.43705039,-0.89943702,0.13104403,-0.99137655
439,-0.34460378,-0.93874823,0.58363605,0.81201537,0.1070732,-0.99425114,0.42190237,0.90664127,0.03028913,-0.99954118,0.73405052,-0.67909487,0.96270217,-0.27056336,-0.95667388,-0.29116162,0.41790561,-0.90849045,-0.77724487,-0.62919823,0.43955286,-0.89821672,0.1366374,-0.99062113
440,-0.34126231,-0.93996811,0.58917216,0.80800753,0.09950372,-0.99503719,0.42190237,0.90664127,0.0,0.0,0.73958584,-0.67306225,0.96270217,-0.27056336,-0.95754244,-0.28829235,0.3855127,-0.92270253,-0.78015025,-0.62559218,0.46900677,-0.88319457,0.14695834,-0.98914268
441,-0.34848823,-0.93731316,0.57402876,0.81883514,0.09191692,-0.99576668,0.40697742,0.91343822,-0.02343107,-0.99972545,0.739762,-0.67286863,0.96104845,-0.27637995,-0.95466245,-0.29769044,0.40728327,-0.91330189,-0.78086881,-0.62469505,0.45706887,-0.88943131,0.14695834,-0.98914268
442,-0.34514409,-0.93854971,0.55860038,0.82943693,0.08367499,-0.9964931,0.40697742,0.91343822,-0.03173005,-0.99949648,0.739762,-0.67286863,0.96104845,-0.27637995,-0.95667388,-0.29116162,0.42993358,-0.90286052,-0.77794118,-0.62833711,0.44222385,-0.89690471,0.14142136,-0.98994949
443,-0.34514409,-0.93854971,0.55072232,0.83468852,0.08304548,-0.99654576,0.38846083,0.92146524,-0.01514978,-0.99988524,0.739762,-0.67286863,0.9593655,-0.28216632,-0.95373921,-0.30063519,0.43492036,-0.90046892,-0.78160148,-0.62377811,0.43719271,-0.89936785,0.14142136,-0.98994949
444,-0.34514409,-0.93854971,0.54468442,0.83864109,0.09053575,-0.99589321,0.36983492,0.92909748,0.04506695,-0.99898397,0.739762,-0.67286863,0.95765384,-0.28792207,-0.95072984,-0.3100206,0.43746572,-0.89923509,-0.79262399,-0.60971076,0.43457293,-0.90063665,0.13985481,-0.99017202
445,-0.35046117,-0.93657726,0.54075759,0.84117848,0.09801068,-0.99518536,0.35599533,0.93448773,0.06802389,-0.99768369,0.73780541,-0.67501346,0.95816809,-0.28620605,-0.95373921,-0.30063519,0.44477481,-0.89564243,-0.79630972,-0.60488911,0.42944323,-0.90309385,0.13908435,-0.99028054
